,model,factual,non_factual,unknown,failed,ents_per_sum,extrinsic_per_sum,rouge1,rouge2,rougeL
0,"Test FBS w/ oracle, i=5",0.79,0.21,0.0,10,2.933333333333333,0.67,0.4637812624651901,0.23850990324128488,0.38948826847510515
1,"Test FBS w/ classifier v1, i=5",0.69,0.31,0.0,13,2.8735632183908044,0.69,0.4557079968555406,0.2343114805616655,0.38181665898023137
2,facebook-bart-large-xsum,0.66,0.34,0.0,0,3.09,1.06,0.46187214454218745,0.22912015372676905,0.38945310893129276
3,chen-corrector,0.68,0.32,0.0,0,3.07,0.95,0.4614882521551625,0.22935589981291282,0.3891772823758031
4,entity-filter-v2,0.62,0.37,0.01,0,2.81,0.97,0.44552473828778355,0.20717310495107977,0.37342948474761173
