model,total,factual,non_factual,non_factual_extrinsic,non_factual_intrinsic,extrinsic_factuality_ratio,extrinsic_entity_count,unknown,skipped,failed,ents_per_sum,sum_with_extrinsic,sum_with_extrinsic_factual
fbs_classifier,139,0.5827338129496403,0.4172661870503597,0.3597122302158273,0.11510791366906475,0.8910112359550562,184,0.0,0.0,15,3.2517985611510793,0.8633093525179856,0.5035971223021583
baseline-bart,139,0.48201438848920863,0.5179856115107914,0.460431654676259,0.1079136690647482,0.8656140350877195,208,0.0,0.0,0,3.4100719424460433,0.9568345323741008,0.49640287769784175
meng-rl,138,0.5289855072463768,0.34782608695652173,0.2753623188405797,0.12318840579710146,0.881272210376688,159,0.12318840579710146,0.0,0,2.8405797101449277,0.7028985507246377,0.3695652173913043
pinocchio,139,0.4676258992805755,0.5035971223021583,0.4316546762589928,0.12949640287769784,0.8619963369963369,204,0.02877697841726619,0.0,0,3.446043165467626,0.9136690647482014,0.4748201438848921
corrector,139,0.4748201438848921,0.5179856115107914,0.4244604316546763,0.14388489208633093,0.8833333333333333,196,0.007194244604316547,0.0,0,3.3956834532374103,0.920863309352518,0.49640287769784175
gold,139,1.0,0.0,0.0,0.0,1.0,239,0.0,0.0,0,3.3741007194244603,0.8776978417266187,0.8776978417266187
