model,factual,non_factual,non_factual_extrinsic,non_factual_intrinsic,unknown,failed,ents_per_sum,sum_with_extrinsic,rouge1,rouge2,rougeL
gef_classifier,0.4530615846126698,0.08867125463208046,0.08717134286218457,0.0017646020822304571,0.4582671607552497,894,2.921551724137931,0.027086641962237517,0.44626788482224317,0.21456573882234378,0.36292863788963803
baseline,0.3912122816304923,0.02038115404976178,0.018704782071642844,0.0022057526027880713,0.5884065643197459,0,3.1004940885830243,0.038556555496735485,0.4533453381635881,0.2222222596259255,0.3710299281052925
corrector,0.41415210869948826,0.018704782071642844,0.01667548967707782,0.0026469031233456856,0.5671431092288689,0,3.098200105876125,0.0367037233103935,0.4493992601362028,0.21762489777195787,0.3679115022711619
