model,factual,non_factual,non_factual_extrinsic,non_factual_intrinsic,unknown,failed,ents_per_sum,sum_with_extrinsic,rouge1,rouge2,rougeL
gef_classifier,0.11915579657042356,0.13439835849333137,0.1336655430162685,0.0011725047633006009,0.7464458449362451,855,3.528820375335121,0.023156969075186867,0.45432061765308107,0.2245735906375551,0.3706428053585683
baseline,0.019932580976110215,0.018466950021984466,0.017441008354096437,0.0017587571449509014,0.9616004690019053,0,3.7372123699252526,0.03224388099076653,0.4642577001456206,0.23512597112779504,0.382173911672374
corrector,0.06434119888612047,0.01773413454492159,0.015975377399970687,0.002638135717426352,0.9179246665689579,0,3.7190385460940933,0.03136450241829107,0.4586141559898173,0.2286489061647911,0.37749797185396256
